"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SSL","Sasol Ltd.","8.86","$5.62B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ssl",
"STSA","Satsuma Pharmaceuticals, Inc.","4.61","$80.32M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/stsa",
"BFS","Saul Centers, Inc.","31.68","$741.31M","1993","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bfs",
"BFS^D","Saul Centers, Inc.","24.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bfs^d",
"BFS^E","Saul Centers, Inc.","23.56","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bfs^e",
"SVRA","Savara, Inc.","1.15","$62.26M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/svra",
"SBFG","SB Financial Group, Inc.","18.28","$137.96M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sbfg",
"SBAC","SBA Communications Corporation","282.13","$31.33B","1999","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sbac",
"SCPE","SC Health Corporation","10.25","$233.83M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/scpe",
"SCPE.U","SC Health Corporation","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/scpe.u",
"SCPE.WS","SC Health Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/scpe.ws",
"SCSC","ScanSource, Inc.","26.38","$670.33M","n/a","Technology","Retail: Computer Software & Peripheral Equipment","https://old.nasdaq.com/symbol/scsc",
"SLB","Schlumberger N.V.","21.83","$30.39B","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/slb",
"SMIT","Schmitt Industries, Inc.","5.34","$20.05M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/smit",
"SNDR","Schneider National, Inc.","20.7","$3.67B","2017","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/sndr",
"SCHN","Schnitzer Steel Industries, Inc.","31.91","$876.05M","1993","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/schn",
"SRRK","Scholar Rock Holding Corporation","48.53","$1.63B","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/srrk",
"SCHL","Scholastic Corporation","25","$857.53M","1992","Consumer Services","Books","https://old.nasdaq.com/symbol/schl",
"SDGR","Schrodinger, Inc.","79.18","$5.5B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sdgr",
"SWM","Schweitzer-Mauduit International, Inc.","40.21","$1.26B","n/a","Basic Industries","Paper","https://old.nasdaq.com/symbol/swm",
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","94.64","$5.51B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/saic",
"SJ","Scienjoy Holding Corporation","8.6601","$234.15M","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/sj",
"SGMS","Scientific Games Corp","41.49","$3.95B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/sgms",
"SCOAU","ScION Tech Growth I","10.32","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/scoau",
"SCPL","SciPlay Corporation","13.85","$316.57M","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/scpl",
"SCPS","Scopus BioPharma Inc.","14.84","n/a","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/scps",
"SALT","Scorpio Bulkers Inc.","16.93","$195.62M","2013","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/salt",
"SBBA","Scorpio Tankers Inc.","25.6","n/a","2020","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/sbba",
"STNG","Scorpio Tankers Inc.","11.19","$649.02M","2010","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/stng",
